Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
49,Travel_Rarely,Research & Development,5,1,Life Sciences,4,Male,Research Scientist,2,Married,5268,3,No,19,2,28,5,2,14,3,4,0,No
29,Travel_Rarely,Sales,21,1,Life Sciences,3,Male,Research Scientist,2,Single,7725,0,No,17,2,11,1,4,12,1,6,10,No
35,Travel_Rarely,Sales,22,1,Life Sciences,2,Female,Research Scientist,3,Married,3657,5,Yes,19,1,13,4,4,8,7,4,8,No
24,Travel_Frequently,Research & Development,12,2,Life Sciences,3,Male,Sales Executive,1,Divorced,4319,4,Yes,15,2,6,5,3,4,9,3,5,No
41,Travel_Frequently,Sales,29,1,Life Sciences,4,Male,Sales Executive,4,Divorced,3605,3,Yes,22,0,23,2,2,15,7,10,1,No
29,Non-Travel,Research & Development,22,4,Technical Degree,2,Female,Human Resources,3,Single,5346,3,No,15,3,10,0,3,15,7,9,7,No
27,Travel_Rarely,Sales,14,2,Other,4,Male,Manufacturing Director,4,Married,4579,4,No,10,2,9,2,4,4,2,10,2,No
31,Travel_Rarely,Research & Development,26,2,Life Sciences,2,Female,Laboratory Technician,4,Divorced,5932,2,No,16,1,10,0,4,5,6,10,7,No
58,Non-Travel,Research & Development,24,3,Marketing,2,Male,Research Scientist,1,Married,3346,4,No,18,0,38,1,3,4,5,1,1,No
22,Non-Travel,Sales,22,1,Marketing,4,Female,Research Director,1,Married,1421,3,No,10,2,0,1,3,8,0,5,9,No
58,Travel_Frequently,Human Resources,9,1,Medical,4,Female,Healthcare Representative,2,Single,5296,4,No,13,2,40,0,4,10,4,10,10,No
46,Travel_Rarely,Sales,10,1,Medical,2,Female,Laboratory Technician,4,Married,4199,3,No,23,2,25,3,2,8,10,4,3,No
